name,author,link,rating,rating_count,review_count,pages_count,price,text_reviews,age,year
Начинаем программировать на Python,Тони Гэддис,https://www.litres.ru/book/toni-geddis-32491161/nachinaem-programmirovat-na-python-68998912/,5.0,16,6,875,599.00,"['Шикарная книга! Начал изучать Python самостоятельно, пробежался по куче книг и ничего не было понятно, а эта книга изменила всё! Всем рекомендую', 'Главное берите в электроне. Печатное издание полное ""г"". Пока дошёл до конца, вся книга развалилась и искать что-то очень проблематично. Выбросил печатное и сейчас в электроне перекупил. Книга супер,  даёт начальное представление, но после 800 страниц становится немного грустно, потому что понимаешь, что выучить синтаксис и умение программировать, это две разные вещи. После этой книги есть реальный шанс начать понимать более серьёзную литературу.', 'Лучшая книга для начинающих программировать на Python, и от издательства ZIP архив (~700Mb) (Состав архива: source-codes – исходные коды, VideoNotes – обучающие видео на английском языке).', 'Начинаем программировать на Python от Тони Гэддиса - это неплохая книга для изучения базового синтаксиса и концепций, которая раскрывает темы по их сложности. Сам по себе учебник не даст вам глубинного понимания о том, как работает язык. В плюсы хочу отнести то, что после каждой главы идут интересные задачи и вопросы, некоторые из которых заставят начинающего подумать.', 'Я по ней учусь, нашёл совет учиться по ней в интернете. Как для новичка-очень простая, подробная, много примеров и задач. Рекомендую всем начинать именно с неё!', 'Если вы начинающий программист, и не имели раньше дела с программированием вовсе, то эта книга поможет разобраться более чем поверхностно']",12+,2021
Изучаем DDD – предметно-ориентированное проектирование,Влад Хононов,https://www.litres.ru/book/vlad-hononov/izuchaem-ddd-predmetno-orientirovannoe-proektirovanie-70920895/,0.0,0,1,319,549.00,"['Эта книга из той лиги, в которой я пока не состою - лиги крутых разрабов и архитекторов. И я имею ввиду не какую-то субъективную оценку. Разработчикам с малым опытом нужно читать конкретику, изучать дальше фишки языка, алгоритмы. Какой смысл от джуна, который знает, что такое предметная область, но не может послать запрос на сервер? Как мне кажется, пользы от него мало. Прочитал я где-то 30% и решил отложить ее до лучших времен.']",0+,2022
System Design. Подготовка к сложному интервью,Алекс Сюй,https://www.litres.ru/book/aleks-suy/system-design-podgotovka-k-slozhnomu-intervu-67193183/,3.6,17,9,304,699.00,"['Добротная книга по разработке архитектуры приложений. Замечательно подойдет программистам уровня Junior+ и выше. Умение проектировать дизайн приложения играет большую роль при разработке ПО, поэтому рекомендую ознакомиться с одержанием)', 'Отличная книга по дизайну систем – помимо примеров как решать задачи на интервью в ней присутствуют подробные описания какие решения могут быть приняты в различных ситуациях. Если кандидат её прочитает и поймёт почему определённые решения хороши в определённых ситуациях, то он сможет проити систем дизайн интервью со смной.', 'Отличная книга для тех, кто заинтересован в backend разработке высоконагруженных систем. Автор начитает с самых азов (объясняет для чего нужен CDN, кеш, реплицирование и что такое хеширование) и заканчивает сложными многокомпонентыми системами вроде ленты FB или облачного хранилища файлов (например google drive). Много схем и пояснений, а так же ссылок на дополнительный материал.', 'Для всех, кто интересуется проектированием систем (архитектурой) эта книга станет отличным стартом. Да, темы разобраны не очень подробно, но таков формат книги - азы для ответов на интервью по этой теме.', 'Полезная книга для всех, кто готовится проходить интервью по системному проектированию. В этой книге затронуты практически все аспекты, о которых спрашивают во время прохождения реального интервью. Однако надо понимать, что все темы затронуты очень поверхностно просто для того, чтобы у вас, во-первых, сложилось понимание, как выглядит алгоритм прохождения подобного вида интервью, какие в нём есть основные этапы, и в какой последовательности следует решать поставленную задачу. А во-вторых, у вас должно появиться понимание, какие в принципе существуют технологии для решения тех или иных проблем при проектировании высоконагруженных систем. Далее при желании вы всегда сможете углубить свои знания в этих технологиях. В книге кстати приводится внушительный список дополнительных источников информации по каждому разделу.', 'Для общего развития нормально', 'Книга проходится только по верхам, остальное предполагается, что человек либо сам знает, либо предлагается просто принять как данность. к примеру, в главе, посвященной сокращению ссылок, рассматривается только 2 варианта сокращения, а всё остальное просто описывется без какого либо объяснения, почему именно так. Тот же способ сокращения в итоге выбирается без каких-либо рассуждений о причине выбора в рамках рассматриваемой задачи. И во всем остальном книга такая же. Так же в книге спешано в кашу как всякие сложные темы, так и объяснение самых базовых понятий, которые по идее должен знать любой, даже самый начинающий разработчик', 'Разобраны все самые типовые задачи на проектирование. отдельное спасибо автору за большое количество ссылок для дополнительного изучения', 'Книга со своей задачей подготовить читателя к интервью справляется, но делает это отвратительно. Не читал оригинал, может дело в переводе, но повествование ужасное: постоянные повторы, разжевывание того, чего не надо, ну и вишенка на торте… ссылки и термины из Википедии!']",16+,2020
"Высоконагруженные приложения. Программирование, масштабирование, поддержка (pdf+epub)",Мартин Клеппман,https://www.litres.ru/book/martin-kleppman-1733/vysokonagruzhennye-prilozheniya-programmirovanie-mass-39100996/,4.0,51,11,640,799.00,"['Не могу что-либо про перевод сказать, читал данную книгу в оригинале. Очень толково и по делу описаны базы данных и интерфейсы. С другой же стороны – половину книги можно вырезать без какой либо потери в качестве и содержании…', 'Altmann Nicolas, hello world', 'Книга претендует на звание «must read» для разработчика отказоустойчивых систем. Представляет собой в первую очередь и в большей мере учебник, нежели справочник. Книга в полной мере раскрывает принципы функционирования самых разных баз данных. Но это далеко не всё, в книге описаны подходы и общие принципы к решению проблем отказов узлов в распределенных системах, выходящие за границы области баз данных. В русскоязычных сообществах книга зовется «кабанчик» и стала классикой в области разработки и проектирования распределенных отказоустойчивых решений. Отмечу высокий порог вхождения для некоторых деталей книги, в том числе B-деревья, алгоритмы консенсуса, и другие математические моменты.', 'Отличная книга, раскрывающая внутреннее устройство баз данных. Даёт понимание, в каких сценариях использовать БД того или иного класса.', 'Книга «с кабанчиком» обязательна к прочтению — это наиболее полное руководство к построению распределённых систем с фокусом на обработку данных (коими является большинство современных web-приложений), основные проблемы, с которыми приходится сталкиваться при проектировании и варианты их решений.', 'Книга стала настольной. Считаю ее необходимой практически любому разработчику или системному аналитику. Описаны все основные аспекты и лучшие практики. Рекомендую', 'Книга хорошая, но будьте внимательны, доступен только PDF формат, который проблематично читать на мобильном устройстве.', 'Антон Чеботарев, книга в epub формате есть в ""дополнительных материалах (февраль 24 года)', 'Когда только начинал заниматься бэкендом, хотел найти избыточный материал по БД и работе с данными. Мне кажется, эта книга является таковой. К идеалу можно только стремится, но книга действительно очень дотошная. Все начинается с обзорного и простого материала, а заканчивается хардовыми проблемами распределенных систем.', 'Невероятно дотошная книга о хранении и обработке данных, начиная от различных форматов хранения данных и индексов и заканчивая возможными реализациями распределенных транзакций. И все это в разрезах надежности/масштабируемости/удобстве сопровождения. Отдельные разделы посвящены таким редкоосвещаемым темам, как согласованность часов (и вообще виды и дискретность таймеров в современных ОС) и согласованность узлов (линеаризуемость и её практическая достижимость).\nMust read всем, кто хочет ориентироваться в современном (спасибо издательству за быстрый перевод) мире БД.', 'Читайте, если хотите, а если не хотите — не читайте :)', 'Обязательно к прочтению, рассмотрен широкий круг вопросов, обозначены вопросы для дальнейшего изучения. ']",16+,2017
Python Библиотеки,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/python-biblioteki-70323379/,5.0,339,11,192,690.00,"['На каждую библиотеку в книге приводится пример ее использования. Много задач объясняется как решить с помощью этих инструментов. Я иногда забываю, что в какой библиотеке можно найти, буду использовать книгу как напоминание.', 'Давно хотела сделать для себя шпаргалку по этим библиотекам и разложить все в голове. А тут книга готовая. Наверное не только мне приходила такая мысль.', 'Книга является хорошим ресурсом для тех, кто хочет быстро понять, какие библиотеки Python могут быть полезны в их проектах.', 'Отличное пособие, очень удобно иметь как подсказку или напоминание для тех кто использует язык Python. Мне по началу было сложно разобраться в этих нескончаемых бтблиотеках, я и сейчас иногда теряюсь и не сразу могу вспомнить что лучше использовать.', 'Класс! То что нужно мне было. А то я запуталась и каша в голове была. Теперь хоть какое-то представление разложилось. Хоть и не все библиотеки тут есть, но основные представлены и еще и примеры с графиками.', 'Очень удобно, что в одной книге собраны основные библиотеки и показаны примеры их применения. Это помогает новичкам не теряться в многообразии и иметь под рукой удобную подсказку.', 'Библиотек и правда много сейчас, под каждый запрос найдется несколько вариантов. Книга помогает разобраться в основных и показывает на примерах их применение.', 'Интересные примеры. Не все библиотеки конечно собраны, но это самые основные. Все и не соберешь. Мне пригодилась книга..', 'Очень удобно, всегда иметь под рукой такие подсказки. Библиотек действительно не счесть по каждой теме. Хотелось бы продолжения и обзор менее известных!', 'Примеры с библиотеками, такими как NumPy, Pandas, Scikit-learn, Flask, Django, и Plotly, делают материал доступным и полезным. Это отличное руководство как для новичков, так и для опытных разработчиков.']",12+,2024
Нейросети начало,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/neyroseti-nachalo-69188950/,4.9,433,37,102,690.00,"['Книга отличная. Давно хотела понять как все работает и какие возможности дают нейросети. В книге удобно и понятно все расписано. А главное сразу практическое применение, код. Теперь можно и свои сети попробовать делать.', 'Если вы хотите начать изучать нейросети, то это то, что вам нужно. Автор очень хорошо объясняет, что такое нейросеть и как она работает. Книга содержит примеры и задания, которые помогут вам углубить свои знания в этой области. Я думаю, что эта книга подойдет для всех, кто интересуется нейросетями, независимо от уровня подготовки.', 'В книге по каждой теме приводятся примеры кода, на которых подробно описан каждый шаг. Это очень удобно. Можно скопировать код и проверить его. ', 'Примеры кодов, тут их много. Новичок в теме или нет, а основы всегда должны быть под рукой. Очень удобно с электронки, скопировал код, и дальше уже меняешь под себя как надо. И для тех кто только пытается понять, тоже сразу на примерах каждый шаг. Отлично!', 'Это отличное введение в мир нейросетей для начинающих. Я научился многому о том, как работают нейроны, как они связаны в нейросетях, как обучать и применять их для различных задач, таких как классификация, регрессия и кластеризация. Автор ясно и доступно объясняют сложные концепции и методы, используя практические примеры и код. Я рекомендую эту книгу всем, кто хочет понимать, как работают нейросети и как их применять в реальной жизни.', 'Мне особенно понравилось, как автор пошагово объясняет, как обучить нейросеть и как выбрать подходящую нейросеть для конкретной задачи. Также было интересно узнать о более продвинутых методах, таких как глубокое обучение, автоэнкодеры и генеративные модели.', 'Отличная серия книг! Последовательно объясняются сложные моменты, на примерах все показывается. Обучиться можно. Без лишней воды.', 'Очень подробно и понятно. Все по полочкам разложено. Все на примерах показано. Нормальный учебник для самообучения. Главное что есть продолжение.', 'Та книга, которой нам сейчас не хватает. А именно практического руководства на русском языке. Для самообучения самое то что надо. У автора целая серия, что не может не радовать. Буду разбираться.', 'Долго думал, начинать ли эту тему. Казалось что сам освоить не смогу. Но зря боялся. Автор отлично пишет. Без лишней воды, только нужное. Сразу приводит пример кода. Можно брать за шаблон.']",12+,2023
Информатика. 7 класс. Базовый уровень,Л. Л. Босова,https://www.litres.ru/book/anna-bosova/informatika-7-klass-68294027/,3.3,7,2,259,535.00,"['Отличная книга. Актуальная информация и всё написано в доступной форме. Для школьной программы самое то. Учебник грамотно структурирован. И порадовало, что есть вопросы для самопроверки после каждой темы.', 'мне нравится. это очень хорошая книга. очень вам благодарна за то, что вы выпускаете ещё больше книг с таким названием.!']",0+,2023
Архитектура компьютера,"Эндрю Таненбаум, ",https://www.litres.ru/book/endru-tanenbaum/arhitektura-komputera-66738078/,4.2,6,3,816,699.00,"['Большая, сложная, информативная книга. Рассказаны основы основ современного компьютера. не ищите в ней поверхностных знаний о актуальных вопросах, она освещает общую обстановку самого ""дна"" вычислительных машин - как работает то, о существовании чего обычный пользователь даже не догадывается. ', 'Если сосредоточенно погружаться, интересно. Иногда надо себя заставлять. Но все же это серьезная литература. автор (г-н Таненбаум) весьма опытный преподаватель и методист', 'Ну что же, прочитав половину этой книги могу с уверенностью рекомендовать каждому it специалисту. Несомненно буду перечитывать её езё раз.']",16+,2015
Go. Идиомы и паттерны проектирования (pdf + epub),Джон Боднер,https://www.litres.ru/book/dzhon-bodner/go-idiomy-i-patterny-proektirovaniya-pdf-epub-67893687/,5.0,7,5,416,699.00,"['Странно, что у этой книги нет отзывов. Да, Go считается достаточно простым языком, в котором нет упора на сложные абстрактные концепции.', 'Отличная книга для новичка и разработчика с опытом. Даже касаясь казалось бы банальных и понятных всем вещей вроде объявления переменных – объясняет не только какой есть функционал, но и почему он здесь – с какой целью его добавляли разработчики языка.', 'Можно ли рекомендовать эту книгу в качестве первой по языку программирования Go? Да, если вы уже программировали на другом языке и вам не надо объяснять про то, зачем нужны переменные, циклы и функции.', 'Книга просто пушка-бомба. Есть, конечно, главы, которые написаны сложновато или не до конца раскрывают тему, но 90% материала написаны отлично. Еще версия Go в книге 1.14, то есть очень старая (на момент чтения последняя версия 1.23).', 'Были большие ожидания от книги, но для меня оказалась слишком заурядной. Сложно оценить, каким уровнем нужно обладать, чтобы книга зашла. Для новичков в программировании она однозначно не подходит, подразумевает хоть какой то опыт. Для разработчиков с опытом книга слишком банальная и многие вещи слишком тщательно(при этом поверхностно) разжёвываются, что невольно закатываешь глаза.']",16+,2021
"Чистый код: создание, анализ и рефакторинг (pdf+epub)",Роберт Мартин,https://www.litres.ru/book/robert-s-martin/chistyy-kod-sozdanie-analiz-i-refaktoring-pdf-epub-6444478/,4.3,121,19,464,599.00,"['Несмотря на то, что некоторые вещи, расмотренные в книге, кажутся очевидными, зачастую даже опытные программисты упускают их из виду. Поэтому книга подойдет как новичкам в программировании, так и «гуру». Для новичков это прекрасный шанс привить себе навыки грамотного написания и документирования кода. ', 'Книга обязательна к прочтению всем программистам. Я читал ее в начале своего пути, как программиста. Идеи книги неоднократно меня выручали. Однако, автор преподносит эти идеи в немного категоричном тоне. К рекомендациям стоит относиться с осторожностью. Если строго следовать каждому совету – получится преждевременная оптимизация программы со всеми вытекающими негативными последствиями.', 'Читал книжку в оригинале. Конечно те, кто пишет на Java получать максимум из книги, но и тем, кто работает с другими языками, будут очень полезны первые 30% книги – как правильно называть переменные, как организовать класс, сколько аргументов лучше передавать в функцию и т.д. Все эти вещи проходят всколзь при подготовке программистов в ВУЗах, а ведь именно из таких мелочей и складываются хорошие системы. Вообще, стоит прочитать точно всем программистам.', 'Я фронтенд разработчик на js, а книга для джавистов но прочитал с удовольствием, много принципов, подходящих всем. Некоторые недостатки уже начал видеть в коде нашего проекта. Рекомендую кан продолжение книги Рефакторинг.', 'Учусь на программиста. Быстро стало понятно, что моя будущая квалификация во многом зависит от самообразования. Не все из этой книги мне понятно на данный момент, но книга полезная. В учебных заведениях почти не учат писать хороший код. А эта книга учит.', 'В книге описаны базовые вещи, которые необходимо знать каждому разработчику, начиная от названия имен переменных и методов, заканчивая организацией классов и уровней абстракции.', 'Крутая книга для начинающих. Описано много моментов которые вы полностью перенесете в свою профессиональную деятельность и которые после прочтения станут для вас неотъемлемой частью ваших подходов в решении задач.', 'Книга будет определенно полезна тем, кто в программировании 1-3 года, на мой взгляд. Для начинающих тут много сложной информации (многопоточность), для ветеранов много банальных советов типа «именуем переменные по фен-шую». Я попал как раз в обозначенную категорию и сделал для себя много полезных мысленных пометок, а также стал гораздо внимательнее к коду.', 'Полезная книга для понимания принципа написания хорошего, приятного кода. Но больше на начинающего программиста рассчет. Думаю, прочитать её нужно каждому, просто кто-то на опыте часть пропустит, а кто-то прочитает с начала до конца.', 'Книга оказалась полезной для меня, после прочтения я начал изначально задумываться об оптимизации блока кода до начала написания этого же блока. Куча полезных советов, которые никогда не будут лишними. Очень полезно прочесть тем, кто работает в команде. Книга на 5+.']",,16+
Разработка сложных отчетов в «1С:Предприятии 8». Система компоновки данных (+ epub),Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/razrabotka-slozhnyh-otchetov-v-1s-predpriyatii-8-sistema-ko-70927897/,0.0,0,0,485,490.00,[],12+,2024
1С:Предприятие 8.3. Практическое пособие разработчика. Примеры и типовые приемы. Издание 3-е,м. г. радченко,https://www.litres.ru/book/e-u-hrustaleva/1s-predpriyatie-8-3-prakticheskoe-posobie-razrabotchika-pri-40932461/,4.5,72,15,983,180.00,"['Книга супер!!! Даю проверенный совет. Прошла книгу от начала и до конца и заметила в своих навыках очень положительные изменения. Много хороших практических доступных примеров. Я очень довольна. Это то что я искала.', 'Довольно не плохая книга для начинающего разработчика 1с, занятия построены от простого к сложному, рекомендую установить учебную версию 1с предприятие и стразу тренироваться, вы будете разрабатывать прикладное решение для не большой фирмы оказывающей бытовые услуги.', 'Задумка хорошая, но реализация так себе!', 'Прекрасная книга для не особо начинающих в 1С. Совсем новичку с нулевым уровнем довольно трудно читать. Но сама по себе книга является исчерпывающим ответом на большинство вопросов молодого специалиста.', 'Замечательная книга для обучающихся программированию с 1С. Все материалы в доступной для понимания форме. Использую, как шпаргалку во время своего обучения. Доступна для скачивания, что очень удобно. Моё обучение проходит с использованием материалов этой книги. Содержит ознакомительную информацию о самой ИБ, а также по отдельности описаны элементы дерева конфигурации, приемы разработки и редактирования.', 'Простая книга о сложном, местами даже увлекательная! Понятная подача материала. Идеально для начинающих, читай, делай, понимай!', 'Лучшая книга для начинающих!!! Много хороших примеров, которые и на основе которых можно с дальнейшем работать. Скачаете платформу 1с и тренируйтесь!', 'Книга задумана хорошо, но реализована отвратно. Примеры не работающие, требуется ""допиливать"", что в случае отсутствия навыков программирования крайне затруднительно.', 'Отличная книга. Написана доступным языком. У автора еще много интересных и полезных книг есть. Для пользователя 1С , но новичка самое оно!!!', 'Супер, когда берешь эту книгу как приложение к учебной базе ( есть в свободном доступе). Насколько все проще! Тогда и работаешь в полноценном режиме- так как этот комплект и задумывался авторами- книга + CD для практики!']",12+,2023
"Путь 1С-разработки. Не спеша, эффективно и правильно (pdf + epub)",Никита Зайцев aka WildHare,https://www.litres.ru/book/nikita-zaycev-aka-wi/put-1s-razrabotki-ne-spesha-effektivno-i-pravilno-pdf-70415749/,4.8,4,1,305,449.00,['Опыт + Юмор + \xa0Стиль = Шедевр;'],16+,2024
C++20 для программистов (pdf+epub),Пол Дейтел,https://www.litres.ru/book/pol-deytel/c-20-dlya-programmistov-pdf-epub-70870268/,0.0,0,0,1056,699.00,[],16+,2022
Создай свой VPN. Безопасное использование интернета,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/sozday-svoy-vpn-bezopasnoe-ispolzovanie-interneta-70388320/,5.0,240,8,280,690.00,"['Нашел в книге решение своей ошибки. В общем для этого ее и приобрел. Для новичка в этой теме подойдет. Есть полезные советы, помогают. Иногда ошибку ищешь не там…', 'В общем оказалось все проще, чем я представлял. Все можно настроить и разобраться. Главное просто начать. Не боятся ошибок, они тоже решаемы. Я одно время застрял на определенном этапе, бросил, а зря. Можно было на форумах полазить, почитать и дальше двигаться. Не стесняйтесь просить у «старших» помощи!', 'Очень своевременно нашел эту книгу. Тема  с Vpn еще долго будет актуальной. Хочу попробовать обезопасить  себя, ну хоть немного. Как в книге говорится, хотя бы в аэропорту.)', 'Казалось бы еще десять лет назад никто и думать не думал про этот vpn… Книга пригодилась, нужная тема. Безопасность хоть и мнимая.', 'Использовал книгу для того чтобы попробовать создать vpn для домашнего использования. В целом получилось, нужно еще доработать некоторые моменты. Надо учиться.', 'Дельная книга. Нацелена прежде  всего на создание безопасного использования интернета, а не доступа к левым сайтам. Хотя одно не исключает другое.', 'Очень увлекся книгой. Не думал раньше что vpn настолько полезная штука в плане безопасности. Понятно конечно что есть антивирусы, но все мы знаем …', 'Мне помогло))). Не все конечно. Но есть занятные вещицы и предложения. Попадаются моменты на которые стоит обратить внимание.']",12+,2024
Микросервисы. Паттерны разработки и рефакторинга (pdf+epub),Крис Ричардсон,https://www.litres.ru/book/kris-richardson-2184/mikroservisy-patterny-razrabotki-i-refaktoringa-pdf-e-50445630/,4.2,21,6,544,699.00,"['Прекрасная книга!!! Просто бестселлер. Всё так по делу и конкретно. Нет воды и пустого словоблудия. Для меня очень интересная тема микросервисы.', 'Книга написана четко структурно по делу, очень рекомендую к прочтению. Минимум воды. Даны шаблоны. Много понятных диаграмм. Не стоит изобретать велосипед, все уже изобретено до вас. Просто воспользуйтесь проверенными идеями как спроектировать свой сервис.', 'Доступным, простым языком раскрыта тема разработки микросервисов пори переходе на микросервисную архитектуру. Которая поможет обеспечить непрерывную разработку, доставку и развертывание приложений любой сложности.', 'Данную книгу мне дал почитать коллега по работе. Я по роду своей деятельности имею непосредственное отношение к разработке программ с применением микросервисной архитектуры, поэтому я охотно согласился прочитать данный труд. Ранее Криса Рачардсона я не читал, эта книга стала первым знакомством с автором.', 'В первый раз прочитала примерно 1/3. Поняла, что не хватает базы. Ушла учиться.', 'Микросервисы это уже давно очень модно. Об этом все вокруг говорят, все давно хотят раздробить свои монолиты на кучу маленьких монолитиков, но никто не знает как. Приметно такая же задумка/задача/план на будущее стоит и в моей профессиональной деятельности. Есть довольно большое веб приложение и много хотелок на его счёт. Чтобы понять как правильно хотеть и решил почитать данную книгу. И ответов там нашел даже больше чем ожидал. Практически всё расписано по полочкам: как, зачем и почему. Так подробно, что аж даже немного страшно стало переходить на микросервисы, просто раньше не задумывался о сложности подобной архитектуры. Зато и плюсы её теперь стал тоже понимать гораздо отчётливее. ']",16+,2019
Python для data science (pdf+epub),Юлий Васильев,https://www.litres.ru/book/uliy-vasilev/python-dlya-data-science-pdf-epub-69434380/,5.0,4,2,272,699.00,"['Тот случай, когда хочется просто сказать большое спасибо автору за его труд и причиненную пользу. Но для отзыва нужно еще двадцать три знака.', 'Книга предназначена для тех, кто хочет освоить язык программирования Python и использовать его для анализа данных. В книге рассказывается о базовых понятиях программирования на Python, а также о более сложных темах, таких как работа с библиотеками для анализа данных, машинное обучение и визуализация результатов. Очень много полезной информации, хорошо подойдет для новичков.', 'Микаэлла, сразу видно отзыв, написанный ради бонусов']",16+,2022
